source_concept_code,source_concept_name,source_concept_count,source_vocabulary_id
1000001492101001,All Results for this Test Available?,54953998,gstt_iclinicalmanager
4000001038101001,WBC,9139029,gstt_iclinicalmanager
2000001086101001,RBC,9139014,gstt_iclinicalmanager
8000001077101001,PLT,9138846,gstt_iclinicalmanager
5000001120101001,HB,9138845,gstt_iclinicalmanager
2000001050101001,Neutrophils,9071193,gstt_iclinicalmanager
1000001071101001,PCV,9042547,gstt_iclinicalmanager
5000001067101001,MCH,9042361,gstt_iclinicalmanager
8000001067101001,MCV,9041809,gstt_iclinicalmanager
4000001086101001,RDW,9041624,gstt_iclinicalmanager
1000001052101001,Lymphocytes,9026432,gstt_iclinicalmanager
9000001053101001,Monocytes,9002285,gstt_iclinicalmanager
6000001160101001,Creatinine Level,8543901,gstt_iclinicalmanager
3000001079101001,Potassium Level,8486002,gstt_iclinicalmanager
1000001019101001,Sodium Level,8480868,gstt_iclinicalmanager
2000001144101001,Eosinophils,7243715,gstt_iclinicalmanager
2000001680101001,Estimated GFR,6685938,gstt_iclinicalmanager
1000001194101001,Albumin Level,5860905,gstt_iclinicalmanager
8000001194101001,Alk Phos Level,5704126,gstt_iclinicalmanager
1000001870101001,Nucleated Red Blood Cells.,5373724,gstt_iclinicalmanager
1000001212101001,Bilirubin Level,5229106,gstt_iclinicalmanager
5000001193101001,Alanine Trans Level,5187333,gstt_iclinicalmanager
1000002557101001,POCT Glucose Meter,5117336,gstt_iclinicalmanager
4000001181101001,C Reactive Protein Level,4926435,gstt_iclinicalmanager
4000001209101001,Basophils,4870761,gstt_iclinicalmanager
7000001004101001,Urea Level,4199011,gstt_iclinicalmanager
4000001183101001,Calcium Level,3863069,gstt_iclinicalmanager
7000001193101001,Corrected Calcium Level,3809690,gstt_iclinicalmanager
1076101001,Phosphate Level,3707311,gstt_iclinicalmanager
3000001088290001,Sitting Systolic,3537613,gstt_iclinicalmanager
6000001088290001,Sitting Heart Rate,3515659,gstt_iclinicalmanager
1000001088290001,Sitting Diastolic,3512128,gstt_iclinicalmanager
1000003769101001,AKI Alert,2507104,gstt_iclinicalmanager
1000001210101001,Bicarbonate Level,2434960,gstt_iclinicalmanager
9000001032290001,Weight,2380133,gstt_iclinicalmanager
8000001030290001,Temperature,2277779,gstt_iclinicalmanager
8000001142101001,GGT,1979295,gstt_iclinicalmanager
7000001177101001,Chloride Level,1900151,gstt_iclinicalmanager
1000001097290001,Total UF Volume,1748520,gstt_iclinicalmanager
8000001198101001,Anion Gap,1520396,gstt_iclinicalmanager
1053101001,Magnesium Level,1502484,gstt_iclinicalmanager
8000001174101001,Chest  -  X-Ray,1413217,gstt_iclinicalmanager
8000001089290001,Blood Flow Rate,1355315,gstt_iclinicalmanager
2000001090290001,Venous Pressure,1314245,gstt_iclinicalmanager
3000003165101001,Prothrombin time (INR),1307778,gstt_iclinicalmanager
7000001089290001,Arterial Pressure,1303614,gstt_iclinicalmanager
7000001201101001,Antibody Screen,1302339,gstt_iclinicalmanager
4000001178101001,Blood Group,1302335,gstt_iclinicalmanager
5000001014101001,Total Protein Level,1284143,gstt_iclinicalmanager
1000001096290001,Dialyser Size,1263613,gstt_iclinicalmanager
7000001090290001,Dialysate Flow Rate,1257901,gstt_iclinicalmanager
6000001090290001,Dialysate,1256638,gstt_iclinicalmanager
5000001090290001,Blood Flow Rate,1256340,gstt_iclinicalmanager
4000003165101001,APTT ratio,1240743,gstt_iclinicalmanager
9000001089290001,Litres Processed,1235958,gstt_iclinicalmanager
4000001094290001,Dialysate Temperature,1224092,gstt_iclinicalmanager
6000001089290001,Dry Weight,1202083,gstt_iclinicalmanager
4000001090290001,Anticoagulation Dose,1150347,gstt_iclinicalmanager
1000001166101001,Clauss Fibrinogen,1067196,gstt_iclinicalmanager
6000001083101001,Prothrombin Time INR,1051656,gstt_iclinicalmanager
2000001113101001,Glucose Level,1017105,gstt_iclinicalmanager
1000002590101001,.MRSA Routine Clinical Screen,986906,gstt_iclinicalmanager
5000001204101001,APTT,982100,gstt_iclinicalmanager
7000001007290001,BM Stix,914831,gstt_iclinicalmanager
4000001088290001,Standing Systolic,881810,gstt_iclinicalmanager
2000001088290001,Standing Diastolic,879571,gstt_iclinicalmanager
7000001088290001,Standing Heart Rate,865836,gstt_iclinicalmanager
1290001,BMI,856864,gstt_iclinicalmanager
3000001012101001,Thyroid Stimulating Hormone Level,772230,gstt_iclinicalmanager
8000001094290001,Kt/V,666068,gstt_iclinicalmanager
2000001641101001,HIV antigen/antibody.,662913,gstt_iclinicalmanager
6000001007290001,Systolic (101-199),644907,gstt_iclinicalmanager
5000001007290001,Diastolic,643109,gstt_iclinicalmanager
2000001165101001,Cholesterol (total) Level,634118,gstt_iclinicalmanager
5000001207101001,Authorising Comment,610404,gstt_iclinicalmanager
1027290001,Pulse (51-100),598823,gstt_iclinicalmanager
