concept_id,concept_name,concept_code,vocabulary_id
21310788,Ammonia solution strong 8.698g / Eucalyptus oil 500mg granules,10050811000001105,dm+d
21439801,Generic Peptamen Junior powder,10051011000001108,dm+d
21348063,Helium 79% / Oxygen 21% cylinders 3000litres,10051211000001103,dm+d
21388626,Nitrous oxide 50% / Oxygen 50% cylinders 2120litres,10051311000001106,dm+d
21398851,Nitrous oxide 50% / Oxygen 50% cylinders 420litres,10051411000001104,dm+d
21327632,Oxygen 95% / Carbon dioxide 5% cylinders 7200litres,10051611000001101,dm+d
21199101,Palifermin 6.25mg powder for solution for injection vials,10051911000001107,dm+d
21180231,Pegfilgrastim 6mg/0.6ml solution for injection pre-filled disposable devices,10052111000001104,dm+d
21236277,Bismuth subnitrate powder,10063711000001101,dm+d
21199100,Desmopressin 120microgram oral lyophilisates sugar free,10063811000001109,dm+d
21180227,Desmopressin 60microgram oral lyophilisates sugar free,10063911000001104,dm+d
21180228,Echinacea tablets,10064011000001101,dm+d
21180230,Eleutherococcus 1g capsules,10064111000001100,dm+d
21292162,Ferric chloride solution strong BPC 1973,10064211000001106,dm+d
21180229,Generic FSC Magnesium & B6 tablets,10064311000001103,dm+d
21274406,Posaconazole 40mg/ml oral suspension,10064411000001105,dm+d
21199099,Isopropyl alcohol 70% liquid,10064511000001109,dm+d
21236302,Sodium cromoglicate 2% eye drops preservative free,10064611000001108,dm+d
21236278,Aspirin 75mg effervescent tablets,10064711000001104,dm+d
21292160,Borax powder,10075311000001106,dm+d
21217790,Generic Solpadeine Plus soluble tablets sugar free,10075411000001104,dm+d
21292161,Morphine sulfate 10mg/1ml solution for injection pre-filled syringes,10075511000001100,dm+d
21310787,Salmeterol 25micrograms/dose inhaler CFC free,10075611000001101,dm+d
21181190,Galsulfase 5mg/5ml solution for injection vials,10097011000001107,dm+d
21254884,Glucosamine hydrochloride 750mg tablets,10097111000001108,dm+d
21217788,Insulin glulisine 100units/ml solution for injection 3ml pre-filled disposable devices,10097211000001102,dm+d
21199098,Sterile water inhalation solution 500ml bottles,10135011000001101,dm+d
21180225,Sterile water inhalation solution 1litre bottles,10135411000001105,dm+d
