concept_id,concept_name,concept_code,vocabulary_id
21235093,Cetomacrogol 1000 + Emulsifying Wax + Liquid paraffin + White soft paraffin,10028511000001109,dm+d
21253661,Camphor + Industrial methylated spirit + Oleic acid,10032411000001105,dm+d
21291131,Industrial methylated spirit + Soft soap,10032511000001109,dm+d
21309828,Diethyl phthalate + Methyl salicylate,10032611000001108,dm+d
21179087,Chalk + Magnesium carbonate + Magnesium Trisilicate + Sodium Bicarbonate,10032711000001104,dm+d
21235286,Wasp venom,10032811000001107,dm+d
21198072,Barium,10032911000001102,dm+d
21235287,Belladonna,10033011000001105,dm+d
21198073,Betaine,10033111000001106,dm+d
21253861,White soft paraffin,10033211000001100,dm+d
21235288,Magnesium carbonate + Magnesium trisilicate + Sodium bicarbonate,10033311000001108,dm+d
21198074,White soft paraffin + Dimeticone,10033411000001101,dm+d
21291132,Wool fat,10033511000001102,dm+d
21235289,Ubidecarenone,10033611000001103,dm+d
21291133,Tolnaftate + Chlorhexidine,10033711000001107,dm+d
21216782,Tolnaftate + Benzalkonium,10033811000001104,dm+d
21272513,Tiludronic acid,10033911000001109,dm+d
21198075,Tragacanth,10034011000001107,dm+d
21235290,Turpentine oil,10034111000001108,dm+d
21179271,Salbutamol + Ipratropium,10034211000001102,dm+d
21198076,Dithranol + Salicylic acid,10034311000001105,dm+d
21272514,Simvastatin + Ezetimibe,10034411000001103,dm+d
21291134,Saccharin,10034511000001104,dm+d
21198077,Salicylic acid + Camphor,10034611000001100,dm+d
21253862,Arsenic,10034711000001109,dm+d
21179272,Calcium carbonate + Magnesium carbonate,10034811000001101,dm+d
21179273,Bee venom,10034911000001106,dm+d
21309829,Calcium carbonate + Simeticone,10035011000001106,dm+d
21198078,Albumin human,10035111000001107,dm+d
21272515,Ascorbic acid + Nicotinamide,10035211000001101,dm+d
21198079,Calamine + Dibrompropamidine,10035311000001109,dm+d
21179274,Carnitine,10035411000001102,dm+d
21216783,Cascara + Senna,10035511000001103,dm+d
21291135,Carbomer 980,10035611000001104,dm+d
21290946,Carbomer 974P,10035711000001108,dm+d
21179275,Carob seed,10035811000001100,dm+d
21216784,Carob seed + Calcium lactate,10035911000001105,dm+d
21253863,Cetylpyridinium,10036011000001102,dm+d
21198080,Cetylpyridinium + Menthol,10036111000001101,dm+d
21235291,Chlorobutanol,10036211000001107,dm+d
21309830,Spironolactone + Chlorothiazide,10036311000001104,dm+d
21198081,Aldioxa + Chloroxylenol,10036411000001106,dm+d
21198082,Choriogonadotropin alfa,10036811000001108,dm+d
21253864,Ciclesonide,10036911000001103,dm+d
21216785,Ciclosporin,10037011000001104,dm+d
21272516,Choline salicylate + Glycerol,10037111000001103,dm+d
21309831,Citric acid + Ipecacuanha,10037211000001109,dm+d
21198083,Chorionic gonadotrophin,10037411000001108,dm+d
21198084,Chromium,10037711000001102,dm+d
21253865,Helium + Oxygen gas,10037811000001105,dm+d
21179276,Dequalinium,10037911000001100,dm+d
21272517,Dexamfetamine,10038011000001103,dm+d
21253866,Darbepoetin alfa,10038111000001102,dm+d
21272518,Dexibuprofen,10038211000001108,dm+d
21272519,Dextromethorphan + Pseudoephedrine,10038311000001100,dm+d
21216786,Dextromethorphan + Menthol,10038411000001107,dm+d
21272520,Dextromethorphan + Triprolidine,10038511000001106,dm+d
21235292,Dibrompropamidine,10038711000001101,dm+d
21290950,Dichlorobenzyl alcohol + Amylmetacresol,10039011000001108,dm+d
21272521,Dimeticone,10039111000001109,dm+d
21309832,Diethylstilbestrol + Lactic acid,10039211000001103,dm+d
21291136,Distigmine,10039311000001106,dm+d
21272522,Diethylamine salicylate,10039511000001100,dm+d
