concept_id,concept_name,concept_code,vocabulary_id
21290338,Biperiden hydrochloride,10020007,dm+d
21197390,Zinc acetate dihydrate,10029011000001106,dm+d
21253457,Potassium acetate,10029111000001107,dm+d
21234617,Magnesium acetate tetrahydrate,10029211000001101,dm+d
21253458,Palifermin,10052211000001105,dm+d
21197391,Bitter-orange peel dried,10063611000001105,dm+d
21216075,Eleutherococcus,10064811000001107,dm+d
21216357,Posaconazole,10064911000001102,dm+d
21178843,Borax,10075711000001105,dm+d
21216358,Galsulfase,10097411000001103,dm+d
36950911,Bedaquiline fumarate,1010553003,dm+d
21308980,Cyclizine lactate,10133003,dm+d
21272070,Rotigotine,10142411000001101,dm+d
21234875,Oxetacaine,10147711000001109,dm+d
21272071,Potassium canrenoate,10150811000001102,dm+d
21216359,Primaquine phosphate,10152611000001100,dm+d
21234623,Echinacea root extract,10157011000001109,dm+d
21234620,Frangula bark dry extract standardised,10157111000001105,dm+d
21234622,Melissa extract,10157211000001104,dm+d
21290465,D-camphor,10158511000001102,dm+d
21309436,L-Methionine,10158911000001109,dm+d
21214957,Oxiglutatione,10160211000001109,dm+d
21290467,Disodium hydrogen phosphate anhydrous,10160311000001101,dm+d
21234619,Frangula bark,10161311000001106,dm+d
21197663,Peracetic acid,10166711000001104,dm+d
21253135,Procarbazine hydrochloride,10174003,dm+d
21290468,L-Histidine hydrochloride monohydrate,10182311000001100,dm+d
21216360,Icodextrin,10192511000001105,dm+d
21290469,Hydroxyquinone,10197011000001100,dm+d
21178844,Ferucarbotran,10236111000001109,dm+d
21197394,Cytomegalovirus immunoglobulin human,10237911000001105,dm+d
21290471,Calendula officinalis tincture,10256011000001109,dm+d
21197664,Hypericum perforatum tincture,10256111000001105,dm+d
21309437,Carbetocin,10256811000001103,dm+d
21290728,Chloride,10260311000001104,dm+d
21197665,L-Cysteine hydrochloride monohydrate,10260411000001106,dm+d
21252110,L-histidine,10260511000001105,dm+d
21290472,L-threonine - invalid,10260611000001109,dm+d
21309165,L-Tryptophan,10260711000001100,dm+d
21290727,Sodium,10260811000001108,dm+d
21253233,Fumaric acid,102646006,dm+d
21178601,Lactoferrin,102670005,dm+d
40697463,Follitropin alfa,103027002,dm+d
36919323,Follitropin beta,103028007,dm+d
21253412,Lutropin alfa,103029004,dm+d
21290474,Cerium nitrate hexahydrate,10303211000001105,dm+d
21253221,Androstanolone,103042004,dm+d
21233455,Betacarotene,103068006,dm+d
21197166,Demeclocycline hydrochloride,10324005,dm+d
21197395,Hylan B,10327811000001109,dm+d
21309438,Tigecycline,10328911000001103,dm+d
21271834,Antithymocyte immunoglobulin (rabbit),10354411000001103,dm+d
21309439,Gadofosveset trisodium,10356811000001108,dm+d
21309440,Pegaptanib sodium,10365311000001100,dm+d
21290475,Pegaptanib oligonucleotide,10365411000001107,dm+d
21234645,Sodium nitrite,10377000,dm+d
21253062,Maprotiline hydrochloride,10424009,dm+d
21234876,Midazolam maleate,10516611000001101,dm+d
21216081,Apple mistletoe,10562111000001106,dm+d
21309441,Copper carbonate,10562211000001100,dm+d
21178582,Oak mistletoe,10562411000001101,dm+d
21290477,Pine mistletoe,10562511000001102,dm+d
21290729,Silver carbonate,10562611000001103,dm+d
21253459,Methylrosanilinium chloride,10563211000001106,dm+d
21216362,Potassium perchlorate,10572511000001109,dm+d
21290478,Sodium phosphate monohydrate,10576411000001106,dm+d
21197398,Sodium DL-3-hydroxybutyrate,10584011000001101,dm+d
21216133,Pseudoephedrine sulfate,10595003,dm+d
21290479,Acetyl-L-carnitine,10597611000001103,dm+d
21309170,Acetyl-L-carnitine hydrochloride,10597711000001107,dm+d
21309442,Sodium dichloroisocyanurate,10604211000001101,dm+d
21234877,Rimonabant,10608211000001107,dm+d
21272072,Ziconotide acetate,10608311000001104,dm+d
21178845,Ziconotide,10612411000001106,dm+d
