concept_id,concept_name,concept_code,vocabulary_id
40795333,Pendimethalin,LP101128-9,LOINC
37030110,Overjet,LP101623-9,LOINC
1004569,How often did you eat fruit in past 30 days,LP102740-0,LOINC
1004774,How much did pain feel like a burden to you in past 7 days,LP102959-6,LOINC
1005848,Nuclei scored,LP113318-2,LOINC
37068423,Paecilomyces sp Ab,LP113526-0,LOINC
1006100,Other activities involving use of chemicals,LP114435-3,LOINC
1006102,Who smokes,LP114607-7,LOINC
40778879,CEBPA gene,LP115339-6,LOINC
1006464,Age when stopped smoking cigars completely,LP115949-2,LOINC
1006674,I cannot go out for entertainment or recreation,LP116744-6,LOINC
1006886,Were you breastfeeding at the time,LP116963-2,LOINC
1007173,I am fascinated by numbers,LP118416-9,LOINC
1007394,I'm optimistic more often than not,LP118965-5,LOINC
37031295,At^a Ab,LP119494-5,LOINC
1007658,How does this loss of sleep affect you the next day with respect to your mood,LP120234-2,LOINC
37054891,Sc1 Ab,LP121334-9,LOINC
1008077,Lot distribution data,LP124829-5,LOINC
1008246,Steps taken,LP127912-6,LOINC
1008365,Do you have this disorder,LP128557-8,LOINC
1008650,How often do you feel shy,LP129171-7,LOINC
1008854,Diagnosing provider,LP130179-7,LOINC
1008955,Dukes,LP130447-8,LOINC
1009112,The clarity of my voice is unpredictable,LP130719-0,LOINC
1009242,Response to medication,LP133277-6,LOINC
1009347,EMS billing,LP133598-5,LOINC
37022589,Mephedrone,LP134005-0,LOINC
1009706,I am disappointed in my ability to work in the past 7 days,LP134357-5,LOINC
40795690,Peanut (Arachis hypogaea),LP13943-3,LOINC
1010309,Kneeling - difficulty - score,LP140325-4,LOINC
1010400,Document type identifier,LP145286-3,LOINC
37040431,FEF 75%,LP145614-6,LOINC
37056289,Oval macrocytes,LP14572-9,LOINC
40779158,Pentaspan,LP14595-0,LOINC
36209118,H,LP14605-7,LOINC
37048439,CD57,LP14630-5,LOINC
40792380,Chromogranin A,LP14652-9,LOINC
40785813,IgA,LP14669-3,LOINC
40789150,Fibrinogen,LP14704-8,LOINC
40795743,Citrate,LP14741-0,LOINC
37032619,Helminth IgE,LP147558-3,LOINC
37074699,Cat dander IgE,LP147726-6,LOINC
37072917,Common Millet (Panicum milliaceum) IgE,LP148140-9,LOINC
1011226,Technical quality,LP148753-9,LOINC
1011358,My child has pain in the past 7 days,LP149061-6,LOINC
1011639,Record status,LP149882-5,LOINC
37027892,Lactalbumin beta,LP15120-6,LOINC
40789183,Lu^a,LP15201-4,LOINC
40792437,Arylsulfatase,LP15423-4,LOINC
40779225,Choriomammotropin,LP15498-6,LOINC
40785881,Glutathione,LP15617-1,LOINC
40782602,Iron binding capacity,LP15678-3,LOINC
40785886,Framycetin,LP15706-2,LOINC
40772627,Cocaine,LP16048-8,LOINC
37029688,Complement C3d+G,LP16366-4,LOINC
37052451,Hemoglobin Yakima,LP16456-3,LOINC
40779311,HLA-A24(9),LP16509-9,LOINC
40782672,HLA-B47,LP16524-8,LOINC
40785961,HLA-B67,LP16542-0,LOINC
40789315,Casein,LP16940-6,LOINC
40776024,Malt,LP17017-2,LOINC
36208954,CD3 and CD20,LP173618-2,LOINC
37076987,Fruit,LP17412-5,LOINC
21496127,Role,LP174422-8,LOINC
37060293,Tacrine,LP17860-5,LOINC
40789370,Para aminobenzoate,LP17920-7,LOINC
40782771,Interleukin 12,LP18174-0,LOINC
44817629,5-Oxoproline,LP18427-2,LOINC
40792635,Normaprotiline,LP18508-9,LOINC
1013113,Nurse age range,LP188996-5,LOINC
37024860,Benzophenone,LP18905-7,LOINC
37055649,Boysenberry,LP18910-7,LOINC
37048179,Chlorocycline,LP18921-4,LOINC
37042765,Sulfalazine,LP19228-3,LOINC
21497912,Form,LP199484-9,LOINC
36209174,CD117,LP20052-4,LOINC
37076749,Ocular alignment,LP201267-4,LOINC
37037504,Maximum E-wave velocity,LP203322-5,LOINC
1014772,Birth year,LP206599-5,LOINC
21498015,F11 gene,LP208566-2,LOINC
1014955,Thoughts on hastening death,LP208965-6,LOINC
1015194,Activity metabolic rate,LP217225-4,LOINC
1015243,AP,LP221200-1,LOINC
37056247,(Arachis hypogaea+Glycine max+Pisum sativum) Ab.IgE.RAST class,LP227443-1,LOINC
37025325,18q chromosome deletion,LP227500-8,LOINC
37050654,APTX gene targeted mutation analysis,LP227663-4,LOINC
37041043,Cocaethylene cutoff,LP228118-8,LOINC
37046938,Doxepin cutoff,LP228314-3,LOINC
37060954,OPC3373 cutoff,LP229156-7,LOINC
1015373,Parenteral IV,LP229201-1,LOINC
36208307,AnWj,LP230254-7,LOINC
1015658,CMS - Staff assessment for mental status,LP232496-2,LOINC
37078443,Bacterial carbapenemase resistance genes panel,LP247693-7,LOINC
37076160,Bg^c,LP247914-7,LOINC
37026933,Transferrin.gastrointestinal,LP248464-2,LOINC
37048786,Pentedrone,LP248997-1,LOINC
1016567,WIC services recipient,LP249094-6,LOINC
1016863,Send document that conforms to Level 3 EMS R2 template,LP261252-3,LOINC
37046265,Coccidioides immitis IgG and IgM panel,LP262514-5,LOINC
1017046,I know how to prevent problems with my health,LP262587-1,LOINC
1017206,Guidance for puncture,LP262803-2,LOINC
1017431,Albumin goal,LP264991-3,LOINC
1017559,Time spent sitting panel,LP265852-6,LOINC
36307459,Prenatal tests,LP265890-6,LOINC
1017670,Hyperlipidemia,LP266259-3,LOINC
37026178,Perampanel,LP266348-4,LOINC
1017910,Assistive technology provided,LP267213-9,LOINC
1017953,12 steps - functional ability,LP267367-3,LOINC
37028559,CD64,LP268943-0,LOINC
1018615,"During the past month, how often did you eat pizza",LP269290-5,LOINC
37044984,Phlebovirus sp,LP269523-9,LOINC
1018830,Optional state assessment,LP269589-0,LOINC
1619447,O-desmethyltraMADol,LP269788-8,LOINC
1019134,Distress subscore,LP270298-5,LOINC
1019311,Small things upset me in past 7 days,LP270614-3,LOINC
1019444,Duke Treadmill Score,LP270782-8,LOINC
1019501,Disease outcome,LP281354-3,LOINC
37025365,2-Hydroxyisobutyrate/Creatinine,LP284700-4,LOINC
37068035,CD59,LP285248-3,LOINC
37070512,Phosphoserine/Creatinine,LP286817-4,LOINC
37066931,Smudge cells/leukocytes,LP287041-0,LOINC
37035503,Tetradecenedioate/Creatinine,LP287204-4,LOINC
1021360,Estradiol^1st specimen post XXX challenge,LP305614-2,LOINC
1022420,Proinsulin^baseline,LP306666-1,LOINC
1022726,Somatotropin^3H post exercise,LP306973-1,LOINC
1022782,Vegetables,LP30703-0,LOINC
1023305,Clot size^30M post incubation,LP307620-7,LOINC
40772927,CD235a cells,LP30824-4,LOINC
1025344,Views^W Tc-99m glucoheptonate IV,LP309778-1,LOINC
37058750,Q wave depth.lead AVL,LP31004-2,LOINC
1025596,PROMIS physical function - version 2.0 T-score,LP310121-1,LOINC
37047670,Q wave duration.lead AVR,LP31018-2,LOINC
37067457,QRS duration.lead II,LP31036-4,LOINC
1025833,Report action level,LP310463-7,LOINC
37029053,Acarboxyprothrombin,LP31830-0,LOINC
37065147,"1,2-Glyceryl dinitrate",LP33271-5,LOINC
1026786,Current level of confidence I can go shopping and run errands,LP343102-2,LOINC
1026947,Address type,LP343285-5,LOINC
40792859,SOD1 gene,LP35626-8,LOINC
37036812,AE 1 Ag,LP36990-7,LOINC
37072210,Borrelia sp Ab,LP37380-0,LOINC
37023188,Botrytis cinerea Ab,LP37384-2,LOINC
40783065,Bovine diarrhea virus Ag,LP37389-1,LOINC
37051321,Wheat Bran IgG,LP37413-9,LOINC
40786375,Brucella sp Ag,LP37443-6,LOINC
37044133,Burkholderia sp Ag,LP37455-0,LOINC
37076498,Caprine herpesvirus 1 Ab,LP37527-6,LOINC
37074092,Safflower (Carthamus tinctorius) Ab,LP37540-9,LOINC
37027829,CD34 Ag,LP37565-6,LOINC
37041095,Cheese cheddar type IgG,LP37585-4,LOINC
40792911,Chlamydia sp IgM,LP37609-2,LOINC
37053132,Clostridium chauvoei Ag,LP37703-3,LOINC
37060675,Coagulation factor XI Ag,LP37729-8,LOINC
37075511,Cola IgG,LP37751-2,LOINC
40773071,Collagen type 1 Ab,LP37755-3,LOINC
37071808,Collagen type 4 Ag,LP37760-3,LOINC
37031401,Coronavirus Ab,LP37778-5,LOINC
37030953,Hazelnut (Corylus avellana) IgG,LP37780-1,LOINC
37061691,Cowdria ruminantium Ab,LP37789-2,LOINC
40779742,Coxiella burnetii Ag,LP37794-2,LOINC
40783079,Coxsackievirus A10 Ab,LP37809-8,LOINC
40776399,Cryptococcus sp Ag,LP37839-5,LOINC
37036024,Cryptosporidium parvum identified,LP37844-5,LOINC
37063245,Melon (Cucumis melo spp) IgG,LP37849-4,LOINC
40786396,DBG Ab,LP37904-7,LOINC
40773079,Dengue virus Ag,LP37909-6,LOINC
40789676,Donath Landsteiner Ab,LP37949-2,LOINC
37058315,Duck feather IgG,LP37953-4,LOINC
40789677,E Ag,LP37963-3,LOINC
37024020,Echovirus 1 Ab,LP37982-3,LOINC
37057706,Echovirus 30 RNA,LP37992-2,LOINC
37073961,Whole Egg IgG,LP38005-2,LOINC
37047926,Endomysium IgA,LP38026-8,LOINC
40786401,Entamoeba histolytica Ab,LP38034-2,LOINC
40789679,Enterovirus identified,LP38049-0,LOINC
37051042,Epicoccum purpurascens IgG,LP38054-0,LOINC
40786404,Epstein Barr virus capsid Ab,LP38068-0,LOINC
37027691,Escherichia coli enterotoxic identified,LP38102-7,LOINC
37075974,Escherichia coli verotoxin 1 Ab,LP38113-4,LOINC
37072361,Exocrine pancreas Ab,LP38120-9,LOINC
37024257,Feline calicivirus Ab,LP38134-0,LOINC
37056658,Filovirus Ab,LP38169-6,LOINC
40789685,Francisella tularensis Ab,LP38187-8,LOINC
40792934,Francisella tularensis Ag,LP38191-0,LOINC
37057464,GALOP IgM,LP38218-1,LOINC
40786411,Ganglioside GM1 Ab,LP38226-4,LOINC
40786414,Giardia lamblia Ag,LP38239-7,LOINC
40792937,H Ab,LP38265-2,LOINC
37053047,Hantavirus hantaan IgM,LP38294-2,LOINC
37036914,Heparin cofactor II Ag,LP38315-5,LOINC
40779772,Hepatitis B virus DNA,LP38320-5,LOINC
40779774,Hepatitis D virus Ab,LP38345-2,LOINC
37066901,Hepatitis E virus IgM,LP38352-8,LOINC
40783110,Herpes simplex virus 1 Ab,LP38362-7,LOINC
37074978,Herpes virus 7 IgG,LP38390-8,LOINC
37056117,Histoplasma sp Ag,LP38418-7,LOINC
37024804,HIV 2 gp105 Ab,LP38466-6,LOINC
37054429,HIV 2 p58 Ab,LP38479-9,LOINC
37064930,HMB-45 Ag,LP38496-3,LOINC
37042940,HTLV 1+2 p26 Ab,LP38532-5,LOINC
37075894,HTLV 1+2 p53 Ab,LP38537-4,LOINC
37046651,Influenza virus A Hong Kong Ab,LP38669-5,LOINC
37050945,Influenza virus A N2 Ab,LP38673-7,LOINC
40796266,Insulin Ab,LP38697-6,LOINC
37069683,Isocyanate IgG,LP38718-0,LOINC
37039718,Isocyanate IgM,LP38720-6,LOINC
37074801,Walnut (Juglans spp) Ab,LP38748-7,LOINC
40796269,Kp^b Ab,LP38756-0,LOINC
37039949,Lettuce (Lactuca sativa) Ab,LP38798-2,LOINC
37045910,Legionella pneumophila 4 IgG,LP38841-0,LOINC
37056744,Leishmania mexicana IgM,LP38873-3,LOINC
37040493,Lysozyme Ag,LP38977-2,LOINC
40792964,Ma+Ta Ab,LP38989-7,LOINC
37058721,Maple syrup IgG,LP38999-6,LOINC
40789720,Mi-2 Ab,LP39015-0,LOINC
37070797,Ganglioside GM1 IgA,LP39036-6,LOINC
37071229,Mycoplasma arginini Ab,LP39083-8,LOINC
37026717,Myelin basic protein Ag,LP39134-9,LOINC
40773135,Neisseria meningitidis sg C Ab,LP39171-1,LOINC
40773136,Neutrophil cytoplasmic Ab,LP39202-4,LOINC
40786465,Ovary Ab,LP39249-5,LOINC
40773138,P Ab,LP39257-8,LOINC
37038734,Bahia grass (Paspalum notatum) Ab,LP39317-0,LOINC
37050304,Phoma betae IgG,LP39354-3,LOINC
37044517,Phthalic anhydride IgM,LP39389-9,LOINC
37032561,Pea (Pisum sativum) Ab,LP39399-8,LOINC
40789732,Plasmodium vivax Ab,LP39423-6,LOINC
37067953,Platelet IgA,LP39428-5,LOINC
37028933,PM-1 Ab,LP39437-6,LOINC
40789734,Pneumocystis jiroveci DNA,LP39441-8,LOINC
40773144,Polio virus Ab,LP39445-9,LOINC
37029248,Porcine parvovirus Ag,LP39465-7,LOINC
40776467,Reovirus Ab,LP39545-6,LOINC
40796304,Reticulin Ab,LP39554-8,LOINC
37075345,Reticulin IgG,LP39556-3,LOINC
21497672,Rhinovirus RNA,LP39561-3,LOINC
40776470,Ribosomal Ab,LP39571-2,LOINC
37078404,Rickettsia (Proteus OXK) Ab,LP39581-1,LOINC
37078621,Rinderpest virus Ab,LP39615-7,LOINC
40779843,Ross river virus Ab,LP39620-7,LOINC
44787143,S Ab,LP39643-9,LOINC
40796311,Salivary gland Ab,LP39660-3,LOINC
37039210,Salmonella abortus equi Ab,LP39664-5,LOINC
37024419,Salmonella enteritidis H Ab,LP39669-4,LOINC
37045320,Salmonella typhi day Ab,LP39693-4,LOINC
40783169,Streptococcus pyogenes Ag,LP39917-7,LOINC
40776482,Strongyloides sp Ab,LP39926-8,LOINC
40783171,Sulfatide IgM,LP39935-9,LOINC
37071946,Tissue polypeptide Ag,LP40009-0,LOINC
37063261,Tissue Transglutaminase IgM,LP40014-0,LOINC
37065037,Trypanosoma brucei Ab,LP40068-6,LOINC
37054188,Ulex europaeus I lectin Ag,LP40093-4,LOINC
37040460,Ureaplasma sp identified,LP40098-3,LOINC
40779861,V Ag,LP40102-3,LOINC
37076654,Variola virus DNA,LP40117-1,LOINC
37071793,Cocal virus Ab,LP40129-6,LOINC
37023901,Yersinia enterocolitica IgA,LP40197-3,LOINC
