concept_id,concept_name,concept_code,vocabulary_id
40229458,benzocaine 0.18 MG/MG Oral Gel,1042838,RxNorm
40229459,benzocaine 0.18 MG/MG Oral Ointment,1042847,RxNorm
43525657,benzocaine 180 MG/ML Mucous Membrane Topical Solution,1371295,RxNorm
44785511,oclacitinib 16 MG Oral Tablet,1487011,RxNorm
44785515,oclacitinib 3.6 MG Oral Tablet,1487019,RxNorm
44785519,oclacitinib 5.4 MG Oral Tablet,1487023,RxNorm
1593604,calcium chloride 0.2 MG/ML / glucose 50 MG/ML / potassium chloride 3.28 MG/ML / sodium chloride 6 MG/ML / sodium lactate 3.1 MG/ML Injectable Solution,1866559,RxNorm
1201276,perfluorohexyloctane 1340 MG/ML Ophthalmic Solution,2637551,RxNorm
968982,calcium chloride 0.33 MG/ML / potassium chloride 0.3 MG/ML / sodium chloride 8.6 MG/ML Injectable Solution,847617,RxNorm
968983,calcium chloride 0.33 MG/ML / potassium chloride 0.3 MG/ML / sodium chloride 8.6 MG/ML Irrigation Solution,847621,RxNorm
968984,calcium chloride 0.2 MG/ML / glucose 50 MG/ML / potassium chloride 1.79 MG/ML / sodium chloride 6 MG/ML / sodium lactate 3.1 MG/ML Injectable Solution,847626,RxNorm
968985,calcium chloride 0.2 MG/ML / glucose 50 MG/ML / potassium chloride 0.3 MG/ML / sodium chloride 6 MG/ML / sodium lactate 3.1 MG/ML Injectable Solution,847627,RxNorm
968986,calcium chloride 0.2 MG/ML / potassium chloride 0.3 MG/ML / sodium chloride 6 MG/ML / sodium lactate 3.1 MG/ML Irrigation Solution,847628,RxNorm
968987,calcium chloride 0.33 MG/ML / glucose 50 MG/ML / potassium chloride 0.3 MG/ML / sodium chloride 8.6 MG/ML Injectable Solution,847629,RxNorm
19135374,calcium chloride 0.2 MG/ML / potassium chloride 0.3 MG/ML / sodium chloride 6 MG/ML / sodium lactate 3.1 MG/ML Injectable Solution,847630,RxNorm
40163829,diclofenac 25 MG Oral Capsule,858342,RxNorm
40164950,micafungin 50 MG Injection,861379,RxNorm
40164954,micafungin 100 MG Injection,861383,RxNorm
42707517,diclofenac potassium 100 MG Oral Capsule,1234492,RxNorm
35201122,glycerin 144 MG/ML / lidocaine 50 MG/ML / petrolatum 150 MG/ML / phenylephrine hydrochloride 2.5 MG/ML Topical Cream,2100015,RxNorm
1396636,dextromethorphan hydrobromide 0.083 MG/ML / pheniramine maleate 0.083 MG/ML / phenylephrine hydrochloride 0.0417 MG/ML Oral Solution,2173718,RxNorm
1201406,sulbactam 1000 MG Injection,2639095,RxNorm
1201410,durlobactam 500 MG Injection,2639099,RxNorm
19130401,calcium chloride 0.003 MEQ/ML / potassium chloride 0.004 MEQ/ML / sodium chloride 0.103 MEQ/ML / sodium lactate 0.028 MEQ/ML Irrigation Solution,798251,RxNorm
745836,cyclosporine 1 MG/ML Ophthalmic Solution,2639936,RxNorm
745851,efgartigimod alfa-qvfc 180 MG/ML / hyaluronidase-qvfc 2000 UNT/ML Injection,2639952,RxNorm
745858,talazoparib 0.1 MG Oral Capsule,2639960,RxNorm
745862,talazoparib 0.35 MG Oral Capsule,2639964,RxNorm
745880,adalimumab-bwwd 50 MG/ML Auto-Injector,2640288,RxNorm
745886,adalimumab-bwwd 50 MG/ML Prefilled Syringe,2640303,RxNorm
745893,adalimumab-aqvh 50 MG/ML Prefilled Syringe,2640390,RxNorm
745899,adalimumab-aqvh 50 MG/ML Auto-Injector,2640398,RxNorm
745904,adalimumab-fkjp 50 MG/ML Auto-Injector,2640405,RxNorm
