concept_id,concept_name,concept_code,vocabulary_id
1201465,"poly(DL-lactic-co-glycolic acid), (75:25; 140000 MW)",2639716,RxNorm
745843,"1,1,1,2,2,3,3,4,4-nonafluorononane",2639943,RxNorm
745867,lithopone,2640031,RxNorm
745868,terpene resin,2640032,RxNorm
745877,"lactic acid lactate, L-",2640216,RxNorm
745878,Lycopodium japonicum top extract,2640285,RxNorm
745934,meadowfoam estolide,2640866,RxNorm
745935,polyglyceryl-4 laurate,2640867,RxNorm
745969,polyquaternium-47 (methacrylamidopropyltrimethylammonium chloride-co-methyl acrylate-co-acrylic acid 46:8:46; 1300000 MW),2641594,RxNorm
745970,ritlecitinib,2641595,RxNorm
745985,valoctocogene roxaparvovec,2641610,RxNorm
745996,alarelin,2641623,RxNorm
746024,delandistrogene moxeparvovec,2641675,RxNorm
746034,epicatechin,2641822,RxNorm
746035,maltotetraose,2641823,RxNorm
746053,Euphorbia hirta leaf extract,2641890,RxNorm
746054,Mosla cavaleriei whole extract,2641891,RxNorm
746055,Murraya paniculata leafy twig extract,2641892,RxNorm
746056,Viola adunca whole extract,2641893,RxNorm
746068,2'-deoxyadenosine,2642189,RxNorm
746069,5-methyldeoxycytidine,2642190,RxNorm
746087,deoxycytidine,2642208,RxNorm
746089,2'-deoxyguanosine,2642210,RxNorm
746091,donislecel,2642217,RxNorm
746106,rozanolixizumab,2642274,RxNorm
746107,bedinvetmab,2642275,RxNorm
746138,laureth-6,2642339,RxNorm
746155,nirsevimab,2642401,RxNorm
746219,acrylate/isobutyl methacrylate/N-tert-octylacrylamide copolymer (40000 MW),2642867,RxNorm
746220,tripeptide-29,2642868,RxNorm
746222,"endothelial growth factor A, vascular",2642870,RxNorm
746223,ethyl p-hydroxyhydrocinnamate,2642871,RxNorm
746224,hydrogenated polyisobutene 8,2642872,RxNorm
746225,quizartinib,2643048,RxNorm
746242,polyglyceryl-10 polyricinoleate,2643065,RxNorm
746243,dodecyl ethyleneglycol monoether,2643152,RxNorm
746245,Prunus cerasus flower extract,2643154,RxNorm
746280,amentoflavone,2643210,RxNorm
746281,medioresinol dimethyl ether,2643211,RxNorm
746282,furterene,2643212,RxNorm
746290,(N-(3-cholamidopropyl)-N-(3-lactobionamidopropyl))cholamide,2643432,RxNorm
746300,polyamide-3 (20000 MW),2643443,RxNorm
746302,sodium lauryl ethoxysulfate,2643470,RxNorm
746304,Atlantic salmon oil,2644110,RxNorm
746328,nadofaragene firadenovec,2644436,RxNorm
746339,Agave tequilana stem extract,2644446,RxNorm
746340,talquetamab,2644447,RxNorm
746355,dihydroquercetin glucoside,2644502,RxNorm
746356,somatrogon,2644503,RxNorm
746388,peptide-T,2644766,RxNorm
746390,polyisobutylene (65000 MW),2644879,RxNorm
746391,elranatamab,2644880,RxNorm
746414,avacincaptad pegol,2645108,RxNorm
746426,trifluoroacetyl tripeptide-2,2645122,RxNorm
746427,"sturgeon, unspecified preparation",2645123,RxNorm
746451,hypromellose acetate succinate,2645263,RxNorm
746452,1-aminocyclopropanol,2645303,RxNorm
746477,pozelimab,2663938,RxNorm
746488,palovarotene,2663954,RxNorm
746489,oligopeptide 104,2663955,RxNorm
