concept_id,concept_name,concept_code,vocabulary_id
40311828,Birth weight,147092001,SNOMED
40572978,Mixed venous oxygen saturation,393861000,SNOMED
40608680,Stereoscopic vision,59104008,SNOMED
37393956,"Urine EDDP (2-ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine) level",1023821000000104,SNOMED
37398767,Hexaporphyrin level,1026521000000108,SNOMED
37394098,Pentaporphyrin level,1026531000000105,SNOMED
37394119,Electrophoresis: albumin,1026791000000100,SNOMED
37394127,Anti-gliadin antibody level,1026921000000100,SNOMED
37398775,GM1 IgG level,1027481000000106,SNOMED
37394459,Derby Outcome Measure score,1032481000000107,SNOMED
37394575,ESQ (Experience of Service Questionnaire) self-report for 12-18 year olds score,1035281000000104,SNOMED
37394583,QPR (Questionnaire about the Process of Recovery) total score,1035441000000106,SNOMED
37394647,Psoriatic Arthritis Impact of Disease 9 questionnaire score,1036471000000109,SNOMED
37394663,SOFA (Sequential Organ Failure Assessment) score,1036771000000102,SNOMED
37394719,DIALOG item 6 score - how satisfied are you with your friendships,1037701000000108,SNOMED
37394720,DIALOG item 7 score - how satisfied are you with your partner/family,1037711000000105,SNOMED
37394736,howRthey summary score,1038061000000106,SNOMED
37395507,Rheumatoid Arthritis Impact of Disease questionnaire score,1048311000000106,SNOMED
37395549,Me and My Feelings Questionnaire score,1049161000000103,SNOMED
506656,HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 2 score - self directed injury,1052971000000101,SNOMED
506657,HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 3 score - problem drinking or drug use,1052981000000104,SNOMED
507683,HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 4 score - cognitive problems,1052991000000102,SNOMED
506658,HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 5 score - physical illness or disability problems,1053001000000103,SNOMED
506659,HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 6 score - problems associated with hallucinations or delusions or confabulations,1053011000000101,SNOMED
506660,HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 7 score - problems with depressive symptoms,1053021000000107,SNOMED
506661,HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 8 score - other mental and behavioural problems,1053031000000109,SNOMED
506662,HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 9 score - problems with relationships,1053041000000100,SNOMED
506663,HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 10 score - problems with activities of daily living,1053051000000102,SNOMED
506664,HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 11 score - problems with living conditions,1053061000000104,SNOMED
506665,HoNOS-ABI (Health of the Nation Outcome Scales for Acquired Brain Injury) rating scale 12 score - problems with activities,1053071000000106,SNOMED
506681,Forensic Mental Health Clustering Tool Summary Assessments of Risk and Need rating 40 score,1053271000000103,SNOMED
506682,Forensic Mental Health Clustering Tool Summary Assessments of Risk and Need rating P score,1053281000000101,SNOMED
506683,Forensic Mental Health Clustering Tool Summary Assessments of Risk and Need rating Q score,1053291000000104,SNOMED
506684,Forensic Mental Health Clustering Tool Summary Assessments of Risk and Need rating R score,1053301000000100,SNOMED
506685,Personal Wellbeing Score rating,1053311000000103,SNOMED
506691,Personal Wellbeing Score rating summary,1053461000000109,SNOMED
507345,Forensic Mental Health Clustering Tool Summary Assessments of Risk and Need rating B score,1060821000000104,SNOMED
507346,Forensic Mental Health Clustering Tool Summary Assessments of Risk and Need rating C score,1060831000000102,SNOMED
507347,Forensic Mental Health Clustering Tool Summary Assessments of Risk and Need rating D score,1060841000000106,SNOMED
507739,Forensic Mental Health Clustering Tool Summary Assessments of Risk and Need rating E score,1060851000000109,SNOMED
42690509,DiADeM (Diagnosing Advanced Dementia Mandate) Tool score,1077361000000106,SNOMED
35609418,Swindon Foot and Ankle Questionnaire score,1081881000000105,SNOMED
35609425,PHQ (Podiatric Health Questionnaire) score,1081951000000109,SNOMED
35609427,PSQ-10 (Patient Satisfaction Questionnaire 10) score,1081971000000100,SNOMED
35609588,Irritable Bowel Syndrome - Symptom Severity Scale score,1083671000000108,SNOMED
35609673,FAST (Fast Alcohol Screening Test) score,1084601000000102,SNOMED
35609696,NYHA (New York Heart Association) Classification class,1084871000000106,SNOMED
35609722,6CIT (Six Item Cognitive Impairment Test) total score,1085151000000108,SNOMED
3569329,CSHA (Canadian Study of Health and Aging) Clinical Frailty Scale,1085481000000109,SNOMED
35609759,Canadian Cardiovascular Society grading of angina pectoris grade,1085571000000108,SNOMED
35609763,"CRB-65 (Confusion, Respiratory rate, Blood pressure, 65 years of age or older) score",1085611000000104,SNOMED
35609828,GPPAQ PAI - General Practice Physical Activity Questionnaire Physical Activity Index,1086511000000107,SNOMED
35610209,MAC (Mental Adjustment to Cancer) Scale score,1090561000000106,SNOMED
35610211,MAST (Michigan Alcoholism Screening Test) total score,1090581000000102,SNOMED
35610263,PAINAD (Pain Assessment in Advanced Dementia) Scale score,1091141000000107,SNOMED
35610265,Padua Inventory score,1091161000000108,SNOMED
35610308,IAPT (Improving Access to Psychological Therapies Programme) phobia scale - Certain situations because of a fear of having a panic attack or other distressing symptoms score,1091671000000106,SNOMED
35610309,IAPT (Improving Access to Psychological Therapies Programme) phobia scale - Certain situations because of a fear of particular objects or activities score,1091681000000108,SNOMED
35610310,IAPT (Improving Access to Psychological Therapies Programme) phobia scale - Social situations due to a fear of being embarrassed or making a fool of myself score,1091691000000105,SNOMED
36685272,FADI (Foot and Ankle Disability Index) Sport score,1095971000000101,SNOMED
36685440,IHR (Institute of Hearing Research) McCormick Automated Toy Discrimination Test score,1097761000000104,SNOMED
36685441,McCormick Toy Discrimination Test manual score,1097771000000106,SNOMED
36685485,Movement ABC (Assessment Battery for Children) total score,1098221000000103,SNOMED
36685487,ASQ:SE (Ages and Stages Questionnaires: Social-Emotional) score,1098241000000105,SNOMED
36685501,Modified Ashworth Scale score,1098381000000106,SNOMED
36685502,Ashworth Scale score,1098391000000108,SNOMED
36685505,AMI (Autobiographical Memory Interview) Total Personal Semantic score,1098421000000102,SNOMED
36685507,IPOS (Integrated Palliative care Outcome Scale) - Staff Version (1 week recall period) overall score,1098441000000109,SNOMED
36685508,IPOS-5 (Integrated Palliative care Outcome Scale 5) Patient Version (1 week recall period) overall score,1098451000000107,SNOMED
