concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000000430,All Results for this Test Available?,,gstt_iclinicalmanager,,N,1000001492101001,2025-04-16,2099-12-31,
2000000001,WBC,,gstt_iclinicalmanager,,N,4000001038101001,2025-04-16,2099-12-31,
2000000006,RBC,,gstt_iclinicalmanager,,N,2000001086101001,2025-04-16,2099-12-31,
2000000015,PLT,,gstt_iclinicalmanager,,N,8000001077101001,2025-04-16,2099-12-31,
2000000019,HB,,gstt_iclinicalmanager,,N,5000001120101001,2025-04-16,2099-12-31,
2000000027,Neutrophils,,gstt_iclinicalmanager,,N,2000001050101001,2025-04-16,2099-12-31,
2000000030,PCV,,gstt_iclinicalmanager,,N,1000001071101001,2025-04-16,2099-12-31,
2000000033,MCH,,gstt_iclinicalmanager,,N,5000001067101001,2025-04-16,2099-12-31,
2000000038,MCV,,gstt_iclinicalmanager,,N,8000001067101001,2025-04-16,2099-12-31,
2000000039,RDW,,gstt_iclinicalmanager,,N,4000001086101001,2025-04-16,2099-12-31,
2000000042,Lymphocytes,,gstt_iclinicalmanager,,N,1000001052101001,2025-04-16,2099-12-31,
2000000048,Monocytes,,gstt_iclinicalmanager,,N,9000001053101001,2025-04-16,2099-12-31,
2000000051,Creatinine Level,,gstt_iclinicalmanager,,N,6000001160101001,2025-04-16,2099-12-31,
2000000055,Potassium Level,,gstt_iclinicalmanager,,N,3000001079101001,2025-04-16,2099-12-31,
2000000058,Sodium Level,,gstt_iclinicalmanager,,N,1000001019101001,2025-04-16,2099-12-31,
2000000061,Eosinophils,,gstt_iclinicalmanager,,N,2000001144101001,2025-04-16,2099-12-31,
2000000063,Estimated GFR,,gstt_iclinicalmanager,,N,2000001680101001,2025-04-16,2099-12-31,
2000000065,Albumin Level,,gstt_iclinicalmanager,,N,1000001194101001,2025-04-16,2099-12-31,
2000000067,Alk Phos Level,,gstt_iclinicalmanager,,N,8000001194101001,2025-04-16,2099-12-31,
2000000010,Nucleated Red Blood Cells.,,gstt_iclinicalmanager,,N,1000001870101001,2025-04-16,2099-12-31,
2000000068,Bilirubin Level,,gstt_iclinicalmanager,,N,1000001212101001,2025-04-16,2099-12-31,
2000000070,Alanine Trans Level,,gstt_iclinicalmanager,,N,5000001193101001,2025-04-16,2099-12-31,
2000000071,POCT Glucose Meter,,gstt_iclinicalmanager,,N,1000002557101001,2025-04-16,2099-12-31,
2000000092,C Reactive Protein Level,,gstt_iclinicalmanager,,N,4000001181101001,2025-04-16,2099-12-31,
2000000094,Basophils,,gstt_iclinicalmanager,,N,4000001209101001,2025-04-16,2099-12-31,
2000000096,Urea Level,,gstt_iclinicalmanager,,N,7000001004101001,2025-04-16,2099-12-31,
2000000104,Calcium Level,,gstt_iclinicalmanager,,N,4000001183101001,2025-04-16,2099-12-31,
2000000105,Corrected Calcium Level,,gstt_iclinicalmanager,,N,7000001193101001,2025-04-16,2099-12-31,
2000000109,Phosphate Level,,gstt_iclinicalmanager,,N,1076101001,2025-04-16,2099-12-31,
2000000110,Sitting Systolic,,gstt_iclinicalmanager,,N,3000001088290001,2025-04-16,2099-12-31,
2000000128,Sitting Heart Rate,,gstt_iclinicalmanager,,N,6000001088290001,2025-04-16,2099-12-31,
2000000119,Sitting Diastolic,,gstt_iclinicalmanager,,N,1000001088290001,2025-04-16,2099-12-31,
2000000132,AKI Alert,,gstt_iclinicalmanager,,N,1000003769101001,2025-04-16,2099-12-31,
2000000134,Bicarbonate Level,,gstt_iclinicalmanager,,N,1000001210101001,2025-04-16,2099-12-31,
2000000136,Weight,,gstt_iclinicalmanager,,N,9000001032290001,2025-04-16,2099-12-31,
2000000142,Temperature,,gstt_iclinicalmanager,,N,8000001030290001,2025-04-16,2099-12-31,
2000000143,GGT,,gstt_iclinicalmanager,,N,8000001142101001,2025-04-16,2099-12-31,
2000000144,Chloride Level,,gstt_iclinicalmanager,,N,7000001177101001,2025-04-16,2099-12-31,
2000000147,Total UF Volume,,gstt_iclinicalmanager,,N,1000001097290001,2025-04-16,2099-12-31,
2000000148,Anion Gap,,gstt_iclinicalmanager,,N,8000001198101001,2025-04-16,2099-12-31,
2000000149,Magnesium Level,,gstt_iclinicalmanager,,N,1053101001,2025-04-16,2099-12-31,
2000000150,Chest  -  X-Ray,,gstt_iclinicalmanager,,N,8000001174101001,2025-04-16,2099-12-31,
2000000380,Blood Flow Rate,,gstt_iclinicalmanager,,N,8000001089290001,2025-04-16,2099-12-31,
2000000382,Venous Pressure,,gstt_iclinicalmanager,,N,2000001090290001,2025-04-16,2099-12-31,
2000000383,Prothrombin time (INR),,gstt_iclinicalmanager,,N,3000003165101001,2025-04-16,2099-12-31,
2000000393,Arterial Pressure,,gstt_iclinicalmanager,,N,7000001089290001,2025-04-16,2099-12-31,
2000000394,Antibody Screen,,gstt_iclinicalmanager,,N,7000001201101001,2025-04-16,2099-12-31,
2000000396,Blood Group,,gstt_iclinicalmanager,,N,4000001178101001,2025-04-16,2099-12-31,
2000000400,Total Protein Level,,gstt_iclinicalmanager,,N,5000001014101001,2025-04-16,2099-12-31,
2000000401,Dialyser Size,,gstt_iclinicalmanager,,N,1000001096290001,2025-04-16,2099-12-31,
