concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
2000000430,0,Maps to,2025-04-16,2099-12-31,
0,2000000430,Maps from,2025-04-16,2099-12-31,
2000000001,40782521,Maps to,2025-04-16,2099-12-31,
40782521,2000000001,Maps from,2025-04-16,2099-12-31,
2000000006,40789120,Maps to,2025-04-16,2099-12-31,
40789120,2000000006,Maps from,2025-04-16,2099-12-31,
2000000015,40779159,Maps to,2025-04-16,2099-12-31,
40779159,2000000015,Maps from,2025-04-16,2099-12-31,
2000000019,40795725,Maps to,2025-04-16,2099-12-31,
40795725,2000000019,Maps from,2025-04-16,2099-12-31,
2000000027,40785788,Maps to,2025-04-16,2099-12-31,
40785788,2000000027,Maps from,2025-04-16,2099-12-31,
2000000030,0,Maps to,2025-04-16,2099-12-31,
0,2000000030,Maps from,2025-04-16,2099-12-31,
2000000033,40772748,Maps to,2025-04-16,2099-12-31,
40772748,2000000033,Maps from,2025-04-16,2099-12-31,
2000000038,40789182,Maps to,2025-04-16,2099-12-31,
40789182,2000000038,Maps from,2025-04-16,2099-12-31,
2000000039,40789356,Maps to,2025-04-16,2099-12-31,
40789356,2000000039,Maps from,2025-04-16,2099-12-31,
2000000042,40772531,Maps to,2025-04-16,2099-12-31,
40772531,2000000042,Maps from,2025-04-16,2099-12-31,
2000000048,40785793,Maps to,2025-04-16,2099-12-31,
40785793,2000000048,Maps from,2025-04-16,2099-12-31,
2000000051,40775801,Maps to,2025-04-16,2099-12-31,
40775801,2000000051,Maps from,2025-04-16,2099-12-31,
2000000055,40792413,Maps to,2025-04-16,2099-12-31,
40792413,2000000055,Maps from,2025-04-16,2099-12-31,
2000000058,40782562,Maps to,2025-04-16,2099-12-31,
40782562,2000000058,Maps from,2025-04-16,2099-12-31,
2000000061,40795733,Maps to,2025-04-16,2099-12-31,
40795733,2000000061,Maps from,2025-04-16,2099-12-31,
2000000063,37061620,Maps to,2025-04-16,2099-12-31,
37061620,2000000063,Maps from,2025-04-16,2099-12-31,
2000000065,40791227,Maps to,2025-04-16,2099-12-31,
40791227,2000000065,Maps from,2025-04-16,2099-12-31,
2000000067,40789190,Maps to,2025-04-16,2099-12-31,
40789190,2000000067,Maps from,2025-04-16,2099-12-31,
2000000010,40779147,Maps to,2025-04-16,2099-12-31,
40779147,2000000010,Maps from,2025-04-16,2099-12-31,
2000000068,40779224,Maps to,2025-04-16,2099-12-31,
40779224,2000000068,Maps from,2025-04-16,2099-12-31,
2000000070,40782579,Maps to,2025-04-16,2099-12-31,
40782579,2000000070,Maps from,2025-04-16,2099-12-31,
2000000071,3968605,Maps to,2025-04-16,2099-12-31,
3968605,2000000071,Maps from,2025-04-16,2099-12-31,
2000000092,40779184,Maps to,2025-04-16,2099-12-31,
40779184,2000000092,Maps from,2025-04-16,2099-12-31,
2000000094,40785796,Maps to,2025-04-16,2099-12-31,
40785796,2000000094,Maps from,2025-04-16,2099-12-31,
2000000096,40795713,Maps to,2025-04-16,2099-12-31,
40795713,2000000096,Maps from,2025-04-16,2099-12-31,
2000000104,40785850,Maps to,2025-04-16,2099-12-31,
40785850,2000000104,Maps from,2025-04-16,2099-12-31,
2000000105,1023100,Maps to,2025-04-16,2099-12-31,
1023100,2000000105,Maps from,2025-04-16,2099-12-31,
2000000109,40779176,Maps to,2025-04-16,2099-12-31,
40779176,2000000109,Maps from,2025-04-16,2099-12-31,
2000000110,1013450,Maps to,2025-04-16,2099-12-31,
1013450,2000000110,Maps from,2025-04-16,2099-12-31,
2000000128,3968528,Maps to,2025-04-16,2099-12-31,
3968528,2000000128,Maps from,2025-04-16,2099-12-31,
2000000119,1013451,Maps to,2025-04-16,2099-12-31,
1013451,2000000119,Maps from,2025-04-16,2099-12-31,
2000000132,0,Maps to,2025-04-16,2099-12-31,
0,2000000132,Maps from,2025-04-16,2099-12-31,
2000000134,40792440,Maps to,2025-04-16,2099-12-31,
40792440,2000000134,Maps from,2025-04-16,2099-12-31,
2000000136,40786050,Maps to,2025-04-16,2099-12-31,
40786050,2000000136,Maps from,2025-04-16,2099-12-31,
2000000142,40786332,Maps to,2025-04-16,2099-12-31,
40786332,2000000142,Maps from,2025-04-16,2099-12-31,
2000000143,40782597,Maps to,2025-04-16,2099-12-31,
40782597,2000000143,Maps from,2025-04-16,2099-12-31,
2000000144,40785869,Maps to,2025-04-16,2099-12-31,
40785869,2000000144,Maps from,2025-04-16,2099-12-31,
2000000147,1992307,Maps to,2025-04-16,2099-12-31,
1992307,2000000147,Maps from,2025-04-16,2099-12-31,
2000000148,40789527,Maps to,2025-04-16,2099-12-31,
40789527,2000000148,Maps from,2025-04-16,2099-12-31,
2000000149,40795717,Maps to,2025-04-16,2099-12-31,
40795717,2000000149,Maps from,2025-04-16,2099-12-31,
2000000150,0,Maps to,2025-04-16,2099-12-31,
0,2000000150,Maps from,2025-04-16,2099-12-31,
2000000380,1014458,Maps to,2025-04-16,2099-12-31,
1014458,2000000380,Maps from,2025-04-16,2099-12-31,
2000000382,0,Maps to,2025-04-16,2099-12-31,
0,2000000382,Maps from,2025-04-16,2099-12-31,
2000000383,40779364,Maps to,2025-04-16,2099-12-31,
40779364,2000000383,Maps from,2025-04-16,2099-12-31,
2000000393,0,Maps to,2025-04-16,2099-12-31,
0,2000000393,Maps from,2025-04-16,2099-12-31,
2000000394,40781629,Maps to,2025-04-16,2099-12-31,
40781629,2000000394,Maps from,2025-04-16,2099-12-31,
2000000396,1027727,Maps to,2025-04-16,2099-12-31,
1027727,2000000396,Maps from,2025-04-16,2099-12-31,
2000000400,40779250,Maps to,2025-04-16,2099-12-31,
40779250,2000000400,Maps from,2025-04-16,2099-12-31,
2000000401,0,Maps to,2025-04-16,2099-12-31,
0,2000000401,Maps from,2025-04-16,2099-12-31,
2000000402,0,Maps to,2025-04-16,2099-12-31,
0,2000000402,Maps from,2025-04-16,2099-12-31,
2000000403,0,Maps to,2025-04-16,2099-12-31,
0,2000000403,Maps from,2025-04-16,2099-12-31,
2000000381,1014458,Maps to,2025-04-16,2099-12-31,
1014458,2000000381,Maps from,2025-04-16,2099-12-31,
2000000414,37031130,Maps to,2025-04-16,2099-12-31,
37031130,2000000414,Maps from,2025-04-16,2099-12-31,
2000000431,0,Maps to,2025-04-16,2099-12-31,
0,2000000431,Maps from,2025-04-16,2099-12-31,
2000000404,0,Maps to,2025-04-16,2099-12-31,
0,2000000404,Maps from,2025-04-16,2099-12-31,
2000000141,1034369,Maps to,2025-04-16,2099-12-31,
1034369,2000000141,Maps from,2025-04-16,2099-12-31,
2000000432,0,Maps to,2025-04-16,2099-12-31,
0,2000000432,Maps from,2025-04-16,2099-12-31,
2000000416,40789150,Maps to,2025-04-16,2099-12-31,
40789150,2000000416,Maps from,2025-04-16,2099-12-31,
2000000384,40779364,Maps to,2025-04-16,2099-12-31,
40779364,2000000384,Maps from,2025-04-16,2099-12-31,
2000000072,3968605,Maps to,2025-04-16,2099-12-31,
3968605,2000000072,Maps from,2025-04-16,2099-12-31,
2000000448,0,Maps to,2025-04-16,2099-12-31,
0,2000000448,Maps from,2025-04-16,2099-12-31,
2000000406,40775918,Maps to,2025-04-16,2099-12-31,
40775918,2000000406,Maps from,2025-04-16,2099-12-31,
2000000422,0,Maps to,2025-04-16,2099-12-31,
0,2000000422,Maps from,2025-04-16,2099-12-31,
2000000111,1013450,Maps to,2025-04-16,2099-12-31,
1013450,2000000111,Maps from,2025-04-16,2099-12-31,
2000000120,1013451,Maps to,2025-04-16,2099-12-31,
1013451,2000000120,Maps from,2025-04-16,2099-12-31,
2000000129,3968528,Maps to,2025-04-16,2099-12-31,
3968528,2000000129,Maps from,2025-04-16,2099-12-31,
2000000423,1027485,Maps to,2025-04-16,2099-12-31,
1027485,2000000423,Maps from,2025-04-16,2099-12-31,
2000000433,37052205,Maps to,2025-04-16,2099-12-31,
37052205,2000000433,Maps from,2025-04-16,2099-12-31,
2000000449,0,Maps to,2025-04-16,2099-12-31,
0,2000000449,Maps from,2025-04-16,2099-12-31,
2000000424,37077280,Maps to,2025-04-16,2099-12-31,
37077280,2000000424,Maps from,2025-04-16,2099-12-31,
2000000112,0,Maps to,2025-04-16,2099-12-31,
0,2000000112,Maps from,2025-04-16,2099-12-31,
2000000121,1013451,Maps to,2025-04-16,2099-12-31,
1013451,2000000121,Maps from,2025-04-16,2099-12-31,
2000000434,37060031,Maps to,2025-04-16,2099-12-31,
37060031,2000000434,Maps from,2025-04-16,2099-12-31,
2000000450,0,Maps to,2025-04-16,2099-12-31,
0,2000000450,Maps from,2025-04-16,2099-12-31,
2000000451,0,Maps to,2025-04-16,2099-12-31,
0,2000000451,Maps from,2025-04-16,2099-12-31,
2000000137,40786050,Maps to,2025-04-16,2099-12-31,
40786050,2000000137,Maps from,2025-04-16,2099-12-31,
2000000439,40772593,Maps to,2025-04-16,2099-12-31,
40772593,2000000439,Maps from,2025-04-16,2099-12-31,
2000000440,40772572,Maps to,2025-04-16,2099-12-31,
40772572,2000000440,Maps from,2025-04-16,2099-12-31,
2000000452,0,Maps to,2025-04-16,2099-12-31,
0,2000000452,Maps from,2025-04-16,2099-12-31,
2000000441,40789263,Maps to,2025-04-16,2099-12-31,
40789263,2000000441,Maps from,2025-04-16,2099-12-31,
2000000453,40796247,Maps to,2025-04-16,2099-12-31,
40796247,2000000453,Maps from,2025-04-16,2099-12-31,
2000000446,40785861,Maps to,2025-04-16,2099-12-31,
40785861,2000000446,Maps from,2025-04-16,2099-12-31,
2000000447,40785945,Maps to,2025-04-16,2099-12-31,
